URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,HasSuspiciousWord,NoOfSuspiciousWords,HasBrandName,NoOfHyphens,NoOfDots,PathLength,HasLoginKeyword,HasVerifyKeyword,HasAccountKeyword,label
23,15,0,2,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,0,0.217391304347826,1,0,0,0,0,2,0,0,0,0,1
22,14,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,0,0.2272727272727272,1,0,0,0,0,2,0,0,0,0,1
28,20,0,2,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,0,0.2142857142857142,1,0,0,0,0,3,0,0,0,0,1
27,19,0,3,1,0,0,0.0,21,0.7777777777777778,0,0.0,0,0,0,0,0.2222222222222222,1,0,0,0,1,2,0,0,0,0,1
35,27,0,2,2,0,0,0.0,21,0.6,7,0.2,0,0,0,0,0.2,0,0,0,0,0,3,1,0,0,0,0
38,29,0,3,1,0,0,0.0,32,0.8421052631578947,0,0.0,0,0,0,0,0.1578947368421052,1,0,0,0,0,2,1,0,0,0,0
32,24,0,3,1,0,0,0.0,25,0.78125,0,0.0,0,0,0,0,0.21875,1,0,0,0,2,2,0,0,0,0,1
21,13,0,3,1,0,0,0.0,14,0.6666666666666666,2,0.0952380952380952,0,0,0,0,0.238095238095238,1,0,0,0,0,2,0,0,0,0,1
26,19,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,0,0.1923076923076923,0,0,0,0,0,2,0,0,0,0,0
27,20,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,0,0,0,0,0,2,0,0,0,0,0
24,16,0,3,1,0,0,0.0,18,0.75,0,0.0,0,0,0,0,0.25,1,0,0,0,1,2,0,0,0,0,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
25,18,0,2,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,0,0,0,0,0,2,0,0,0,0,0
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,1,0,0,0,0,2,0,0,0,0,1
32,24,0,3,1,0,0,0.0,27,0.84375,0,0.0,0,0,0,0,0.15625,1,0,0,0,0,2,0,0,0,0,1
92,36,0,2,1,0,0,0.0,78,0.8478260869565217,0,0.0,0,0,0,0,0.1521739130434782,1,1,1,0,3,2,48,1,0,0,0
27,19,0,2,2,0,0,0.0,21,0.7777777777777778,0,0.0,0,0,0,0,0.2222222222222222,1,0,0,0,0,3,0,0,0,0,1
31,22,0,3,0,0,0,0.0,24,0.7741935483870968,0,0.0,0,0,0,0,0.2258064516129032,1,1,1,0,2,1,1,1,0,0,0
19,11,0,3,0,0,0,0.0,15,0.7894736842105263,0,0.0,0,0,0,0,0.2105263157894736,1,0,0,0,0,1,0,0,0,0,0
38,29,0,3,1,0,0,0.0,26,0.6842105263157895,4,0.1052631578947368,0,0,0,0,0.2105263157894736,1,0,0,0,2,2,1,0,0,0,0
21,13,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,0,0.238095238095238,1,0,0,0,0,2,0,0,0,0,1
36,29,0,3,2,0,0,0.0,30,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,0,0,0,0,0,3,0,0,0,0,0
28,20,0,2,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,0,0.2142857142857142,1,0,0,0,0,3,0,0,0,0,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,0,0.1785714285714285,1,0,0,0,0,2,0,0,0,0,1
40,32,0,3,1,0,0,0.0,35,0.875,0,0.0,0,0,0,0,0.125,1,0,0,0,0,2,0,0,0,0,1
31,23,0,2,3,0,0,0.0,24,0.7741935483870968,0,0.0,0,0,0,0,0.2258064516129032,1,0,0,0,0,4,0,0,0,0,1
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,0,0.1724137931034483,1,0,0,0,0,2,0,0,0,0,1
55,47,0,2,2,0,0,0.0,24,0.4363636363636363,21,0.3818181818181818,0,0,0,0,0.1818181818181818,1,0,0,0,4,3,0,0,0,0,0
36,28,0,2,2,0,0,0.0,30,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,1,0,0,0,0,3,0,0,0,0,1
55,46,0,3,4,0,0,0.0,43,0.7818181818181819,3,0.0545454545454545,0,0,0,0,0.1636363636363636,1,0,0,0,0,5,1,0,0,0,0
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
36,29,0,3,1,0,0,0.0,31,0.8611111111111112,0,0.0,0,0,0,0,0.1388888888888889,0,0,0,0,0,2,0,0,0,0,0
28,20,0,2,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,0,0.2142857142857142,1,0,0,0,0,3,0,0,0,0,1
28,21,0,3,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,0,0.2142857142857142,0,0,0,0,0,3,0,0,0,0,0
18,10,0,2,1,0,0,0.0,13,0.7222222222222222,0,0.0,0,0,0,0,0.2777777777777778,1,0,0,0,0,2,0,0,0,0,1
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,1,0,0,0,0,2,0,0,0,0,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,0,0.1785714285714285,1,0,0,0,0,2,0,0,0,0,1
22,14,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,0,0.2272727272727272,1,0,0,0,0,2,0,0,0,0,1
21,13,0,2,2,0,0,0.0,15,0.7142857142857143,0,0.0,0,0,0,0,0.2857142857142857,1,0,0,0,0,3,0,0,0,0,1
21,14,0,2,1,0,0,0.0,15,0.7142857142857143,1,0.0476190476190476,0,0,0,0,0.238095238095238,0,0,0,0,0,2,0,0,0,0,0
21,13,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,0,0.238095238095238,1,0,0,0,0,2,0,0,0,0,1
32,24,0,2,2,0,0,0.0,26,0.8125,0,0.0,0,0,0,0,0.1875,1,0,0,0,0,3,0,0,0,0,1
107,20,0,5,1,0,0,0.0,84,0.7850467289719626,13,0.1214953271028037,0,0,0,2,0.0934579439252336,1,0,0,0,0,2,79,0,0,0,0
19,12,0,2,1,0,0,0.0,14,0.7368421052631579,0,0.0,0,0,0,0,0.2631578947368421,0,0,0,0,0,2,0,0,0,0,0
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,0,0.1923076923076923,1,0,0,0,0,2,0,0,0,0,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,0,0.1785714285714285,1,0,0,0,0,2,0,0,0,0,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
22,15,0,5,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,0,0.2272727272727272,0,0,0,0,0,2,0,0,0,0,0
49,40,0,3,1,0,0,0.0,25,0.5102040816326531,18,0.3673469387755102,0,0,0,0,0.1224489795918367,1,0,0,0,0,2,1,0,0,0,0
24,17,0,2,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,0,0,0,0,0,2,0,0,0,0,0
22,15,0,4,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,0,0.2272727272727272,0,0,0,0,0,2,0,0,0,0,0
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,1,0,0,0,0,2,0,0,0,0,1
82,73,0,4,2,0,0,0.0,67,0.8170731707317073,8,0.0975609756097561,0,0,0,0,0.0853658536585365,1,0,0,0,0,3,1,0,0,0,0
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,1,0,0,0,0,2,0,0,0,0,1
21,13,0,2,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,0,0.238095238095238,1,0,0,0,0,2,0,0,0,0,1
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,1,0,0,0,0,2,0,0,0,0,1
37,28,0,3,1,0,0,0.0,28,0.7567567567567568,3,0.081081081081081,0,0,0,0,0.1621621621621621,1,0,0,0,0,2,1,0,0,0,0
23,15,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,0,0.217391304347826,1,0,0,0,0,2,0,0,0,0,1
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,0,0.1923076923076923,1,0,0,0,0,2,0,0,0,0,1
22,14,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,0,0.2272727272727272,1,0,0,0,0,2,0,0,0,0,1
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,0,0.1724137931034483,1,0,0,0,0,2,0,0,0,0,1
41,32,0,3,1,0,0,0.0,30,0.7317073170731707,5,0.1219512195121951,0,0,0,0,0.1463414634146341,1,0,0,0,0,2,1,0,0,0,0
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
31,23,0,2,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,0,0.1612903225806451,1,0,0,0,0,2,0,0,0,0,1
22,14,0,2,2,0,0,0.0,16,0.7272727272727273,0,0.0,0,0,0,0,0.2727272727272727,1,0,0,0,0,3,0,0,0,0,1
107,20,0,3,1,0,0,0.0,70,0.6542056074766355,20,0.1869158878504672,0,0,0,2,0.1588785046728972,1,0,0,0,5,4,61,0,0,0,0
22,15,0,2,2,0,0,0.0,16,0.7272727272727273,0,0.0,0,0,0,0,0.2727272727272727,0,0,0,0,0,3,0,0,0,0,0
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,0,0.1612903225806451,1,0,0,0,0,2,0,0,0,0,1
21,13,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,0,0.238095238095238,1,0,0,0,0,2,0,0,0,0,1
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,1,0,0,0,0,2,0,0,0,0,1
55,46,0,3,1,0,0,0.0,31,0.5636363636363636,16,0.2909090909090909,0,0,0,0,0.1454545454545454,1,0,0,1,2,2,1,0,0,0,0
54,47,0,3,3,0,0,0.0,43,0.7962962962962963,1,0.0185185185185185,0,0,0,0,0.1851851851851851,0,0,0,0,3,4,0,0,0,0,0
20,12,0,3,1,0,0,0.0,15,0.75,0,0.0,0,0,0,0,0.25,1,0,0,0,0,2,0,0,0,0,1
37,30,0,3,2,0,0,0.0,31,0.8378378378378378,0,0.0,0,0,0,0,0.1621621621621621,0,0,0,0,0,3,0,0,0,0,0
31,23,0,2,2,0,0,0.0,24,0.7741935483870968,0,0.0,0,0,0,0,0.2258064516129032,1,0,0,0,1,3,0,0,0,0,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
25,18,0,3,1,0,0,0.0,19,0.76,0,0.0,0,0,0,0,0.24,0,0,0,0,1,2,0,0,0,0,0
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,0,0.1923076923076923,1,0,0,0,0,2,0,0,0,0,1
39,31,0,2,1,0,0,0.0,33,0.8461538461538461,0,0.0,0,0,0,0,0.1538461538461538,1,0,0,0,1,2,0,0,0,0,0
23,15,0,2,2,0,0,0.0,17,0.7391304347826086,0,0.0,0,0,0,0,0.2608695652173913,1,0,0,0,0,3,0,0,0,0,1
29,21,0,3,1,0,0,0.0,23,0.7931034482758621,0,0.0,0,0,0,0,0.2068965517241379,1,0,0,0,1,2,0,0,0,0,1
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,1,0,0,0,0,2,0,0,0,0,1
23,15,0,2,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,0,0.217391304347826,1,0,0,0,0,2,0,0,0,0,1
40,31,0,2,2,0,0,0.0,32,0.8,1,0.025,0,0,0,0,0.175,1,0,0,0,0,3,1,0,0,0,0
58,26,0,3,1,0,0,0.0,41,0.7068965517241379,7,0.1206896551724138,0,0,0,0,0.1724137931034483,0,1,1,0,1,3,25,1,0,0,0
18,11,0,3,1,0,0,0.0,12,0.6666666666666666,1,0.0555555555555555,0,0,0,0,0.2777777777777778,0,0,0,0,0,2,0,0,0,0,0
23,15,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,0,0.217391304347826,1,0,0,0,0,2,0,0,0,0,1
31,23,0,3,2,0,0,0.0,25,0.8064516129032258,0,0.0,0,0,0,0,0.1935483870967742,1,0,0,0,0,3,0,0,0,0,1
26,19,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,0,0.1923076923076923,0,0,0,0,0,2,0,0,0,0,0
28,20,0,2,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,0,0.1785714285714285,1,0,0,0,0,2,0,0,0,0,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,1,0,0,0,0,2,0,0,0,0,1
24,17,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,0,0,0,0,0,2,0,0,0,0,0
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,0,0.1785714285714285,1,0,0,0,0,2,0,0,0,0,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,1,0,0,0,0,2,0,0,0,0,1
25,18,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,0,0,0,0,0,2,0,0,0,0,0
25,18,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,0,0,0,0,0,2,0,0,0,0,0
25,17,0,2,2,0,0,0.0,19,0.76,0,0.0,0,0,0,0,0.24,1,0,0,0,0,3,0,0,0,0,1
20,13,0,3,0,0,0,0.0,16,0.8,0,0.0,0,0,0,0,0.2,0,0,0,0,0,1,0,0,0,0,0
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,0,0.1612903225806451,1,0,0,0,0,2,0,0,0,0,1
21,13,0,2,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,0,0.238095238095238,1,0,0,0,0,2,0,0,0,0,1
32,24,0,2,2,0,0,0.0,25,0.78125,0,0.0,0,0,0,0,0.21875,1,0,0,0,1,3,0,0,0,0,1
19,11,0,2,1,0,0,0.0,14,0.7368421052631579,0,0.0,0,0,0,0,0.2631578947368421,1,0,0,0,0,2,0,0,0,0,1
27,18,0,3,1,0,0,0.0,20,0.7407407407407407,0,0.0,0,0,0,0,0.2592592592592592,1,1,1,0,1,2,1,0,0,0,0
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,0,0.1724137931034483,1,0,0,0,0,2,0,0,0,0,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
23,15,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,0,0.217391304347826,1,0,0,0,0,2,0,0,0,0,1
34,26,0,3,0,0,0,0.0,29,0.8529411764705882,0,0.0,0,0,0,0,0.1470588235294117,0,0,0,0,0,1,1,0,0,0,0
25,18,0,3,2,0,0,0.0,19,0.76,0,0.0,0,0,0,0,0.24,0,0,0,0,0,3,0,0,0,0,0
22,14,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,0,0.2272727272727272,1,0,0,0,0,2,0,0,0,0,1
34,25,0,3,1,0,0,0.0,27,0.7941176470588235,1,0.0294117647058823,0,0,0,0,0.1764705882352941,1,0,0,0,0,2,1,0,0,0,0
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,1,0,0,0,0,2,0,0,0,0,1
33,25,0,3,1,0,0,0.0,20,0.6060606060606061,6,0.1818181818181818,0,0,0,0,0.2121212121212121,0,0,0,0,1,2,1,0,0,0,0
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,1,0,0,0,0,2,0,0,0,0,1
23,15,0,2,2,0,0,0.0,17,0.7391304347826086,0,0.0,0,0,0,0,0.2608695652173913,1,0,0,0,0,3,0,0,0,0,1
34,26,0,3,1,0,0,0.0,29,0.8529411764705882,0,0.0,0,0,0,0,0.1470588235294117,1,0,0,0,0,2,0,0,0,0,1
39,32,0,2,1,0,0,0.0,34,0.8717948717948718,0,0.0,0,0,0,0,0.1282051282051282,0,0,0,0,0,2,0,0,0,0,0
22,14,0,2,2,0,0,0.0,16,0.7272727272727273,0,0.0,0,0,0,0,0.2727272727272727,1,0,0,0,0,3,0,0,0,0,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,1,0,0,0,0,2,0,0,0,0,1
38,31,0,4,2,0,0,0.0,30,0.7894736842105263,2,0.0526315789473684,0,0,0,0,0.1578947368421052,0,0,0,0,0,3,0,0,0,0,0
29,21,0,3,2,0,0,0.0,23,0.7931034482758621,0,0.0,0,0,0,0,0.2068965517241379,1,0,0,0,0,3,0,0,0,0,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
29,21,0,3,1,0,0,0.0,23,0.7931034482758621,0,0.0,0,0,0,0,0.2068965517241379,0,0,0,0,0,2,1,0,0,0,0
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,1,0,0,0,0,2,0,0,0,0,1
28,20,0,2,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,0,0.2142857142857142,1,0,0,0,0,3,0,0,0,0,1
27,19,0,2,2,0,0,0.0,20,0.7407407407407407,0,0.0,0,0,0,0,0.2592592592592592,1,0,0,0,1,3,0,0,0,0,1
87,19,0,2,1,0,0,0.0,50,0.5747126436781609,23,0.264367816091954,0,0,0,0,0.160919540229885,1,0,0,0,5,3,60,0,0,0,0
21,14,0,2,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,0,0.238095238095238,0,0,0,0,0,2,0,0,0,0,0
30,23,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,0,0,0,0,0,2,0,0,0,0,0
32,24,0,3,1,0,0,0.0,27,0.84375,0,0.0,0,0,0,0,0.15625,1,0,0,0,0,2,0,0,0,0,1
22,14,0,3,1,0,0,0.0,16,0.7272727272727273,1,0.0454545454545454,0,0,0,0,0.2272727272727272,1,0,0,0,0,2,0,0,0,0,1
21,13,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,0,0.238095238095238,1,0,0,0,0,2,0,0,0,0,1
40,25,0,3,2,0,0,0.0,32,0.8,0,0.0,0,0,0,0,0.2,1,0,0,0,0,4,7,0,0,0,0
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
17,8,0,2,0,0,0,0.0,12,0.7058823529411765,0,0.0,0,0,0,0,0.2941176470588235,1,0,0,0,0,1,1,0,0,0,0
23,16,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,0,0.217391304347826,0,0,0,0,0,2,0,0,0,0,0
25,18,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,0,0,0,0,0,2,0,0,0,0,0
32,24,0,2,1,0,0,0.0,27,0.84375,0,0.0,0,0,0,0,0.15625,1,0,0,0,0,2,0,0,0,0,1
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,1,0,0,0,0,2,0,0,0,0,1
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,0,0.1612903225806451,1,0,0,0,0,2,0,0,0,0,1
27,19,0,2,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
67,7,0,2,0,0,0,0.0,49,0.7313432835820896,12,0.1791044776119403,0,0,0,0,0.0895522388059701,1,0,0,0,0,1,52,0,0,0,0
22,14,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,0,0.2272727272727272,1,0,0,0,0,2,0,0,0,0,1
19,12,0,3,1,0,0,0.0,14,0.7368421052631579,0,0.0,0,0,0,0,0.2631578947368421,0,0,0,0,0,2,0,0,0,0,0
