URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,label
27,18,0,3,1,0,0,0.0,16,0.5925925925925926,4,0.14814814814814814,0,0,0,7,0.25925925925925924,1,0
22,14,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,5,0.22727272727272727,1,1
92,7,0,2,0,0,0,0.0,75,0.8152173913043478,7,0.07608695652173914,1,1,0,10,0.10869565217391304,1,0
40,32,0,3,1,0,0,0.0,20,0.5,12,0.3,0,0,0,8,0.2,0,0
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
35,26,0,3,1,0,0,0.0,27,0.7714285714285715,2,0.05714285714285714,0,0,0,6,0.17142857142857143,1,0
24,16,0,2,2,0,0,0.0,18,0.75,0,0.0,0,0,0,6,0.25,1,1
33,25,0,3,1,0,0,0.0,28,0.8484848484848485,0,0.0,0,0,0,5,0.15151515151515152,1,1
20,13,0,3,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,0,0
20,12,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,1,1
28,21,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,0,0
28,21,0,4,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,6,0.21428571428571427,0,0
33,24,0,3,1,0,0,0.0,24,0.7272727272727273,2,0.06060606060606061,0,0,0,7,0.21212121212121213,1,0
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
30,22,0,2,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,5,0.16666666666666666,1,1
42,33,0,3,1,0,0,0.0,30,0.7142857142857143,3,0.07142857142857142,0,0,0,9,0.21428571428571427,1,0
140,23,0,3,0,0,0,0.0,104,0.7428571428571429,19,0.1357142857142857,2,1,0,17,0.12142857142857143,1,0
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
28,20,0,2,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,6,0.21428571428571427,1,1
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
23,16,0,5,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,5,0.21739130434782608,0,0
35,26,0,2,1,0,0,0.0,22,0.6285714285714286,6,0.17142857142857143,0,0,0,7,0.2,1,0
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
32,23,0,3,0,0,0,0.0,27,0.84375,0,0.0,0,0,0,5,0.15625,1,0
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
25,18,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,0,0
20,12,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,1,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,5,0.18518518518518517,1,1
37,12,0,5,0,0,0,0.0,27,0.7297297297297297,4,0.10810810810810811,0,0,0,6,0.16216216216216217,1,0
22,14,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,5,0.22727272727272727,1,1
31,22,0,3,1,0,0,0.0,23,0.7419354838709677,1,0.03225806451612903,0,0,0,7,0.22580645161290322,1,0
31,24,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,0,0
36,28,0,2,2,0,0,0.0,30,0.8333333333333334,0,0.0,0,0,0,6,0.16666666666666666,1,1
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
18,10,0,2,1,0,0,0.0,13,0.7222222222222222,0,0.0,0,0,0,5,0.2777777777777778,1,1
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
26,18,0,2,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
21,13,0,2,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,1,1
31,24,0,3,2,0,0,0.0,25,0.8064516129032258,0,0.0,0,0,0,6,0.1935483870967742,0,0
24,17,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,0,0
23,15,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,5,0.21739130434782608,1,1
21,14,0,2,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,0,0
27,20,0,2,2,0,0,0.0,14,0.5185185185185185,7,0.25925925925925924,0,0,0,6,0.2222222222222222,0,0
26,17,0,3,1,0,0,0.0,20,0.7692307692307693,0,0.0,0,0,0,6,0.23076923076923078,1,0
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,5,0.1724137931034483,1,1
35,27,0,2,1,0,0,0.0,30,0.8571428571428571,0,0.0,0,0,0,5,0.14285714285714285,1,1
24,16,0,3,1,0,0,0.0,18,0.75,1,0.041666666666666664,0,0,0,5,0.20833333333333334,1,1
92,16,0,3,1,1,3,0.03260869565217391,40,0.43478260869565216,39,0.42391304347826086,0,0,0,13,0.14130434782608695,1,0
35,27,0,3,1,0,0,0.0,30,0.8571428571428571,0,0.0,0,0,0,5,0.14285714285714285,1,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,5,0.18518518518518517,1,1
37,28,0,3,1,0,0,0.0,30,0.8108108108108109,1,0.02702702702702703,0,0,0,6,0.16216216216216217,1,0
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,5,0.18518518518518517,1,1
16,8,0,3,0,0,0,0.0,11,0.6875,0,0.0,0,0,0,5,0.3125,0,0
52,45,0,3,3,0,0,0.0,41,0.7884615384615384,1,0.019230769230769232,0,0,0,10,0.19230769230769232,0,0
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
20,12,0,3,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,1,1
32,24,0,3,1,0,0,0.0,27,0.84375,0,0.0,0,0,0,5,0.15625,1,1
34,25,0,3,1,0,0,0.0,21,0.6176470588235294,6,0.17647058823529413,0,0,0,7,0.20588235294117646,1,0
23,15,0,2,2,0,0,0.0,17,0.7391304347826086,0,0.0,0,0,0,6,0.2608695652173913,1,1
20,12,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,1,1
26,18,0,2,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
64,25,0,4,1,0,0,0.0,37,0.578125,16,0.25,2,1,1,11,0.171875,0,0
55,47,0,2,2,0,0,0.0,27,0.4909090909090909,18,0.32727272727272727,0,0,0,10,0.18181818181818182,1,0
25,17,0,2,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,5,0.1724137931034483,1,1
35,27,0,3,1,0,0,0.0,30,0.8571428571428571,0,0.0,0,0,0,5,0.14285714285714285,1,1
28,20,0,2,2,0,0,0.0,21,0.75,0,0.0,0,0,0,7,0.25,1,1
41,33,0,3,1,0,0,0.0,36,0.8780487804878049,0,0.0,0,0,0,5,0.12195121951219512,1,1
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,5,0.1724137931034483,1,1
55,46,0,3,2,0,0,0.0,45,0.8181818181818182,0,0.0,0,0,0,10,0.18181818181818182,1,0
43,34,0,3,1,0,0,0.0,29,0.6744186046511628,6,0.13953488372093023,0,0,0,8,0.18604651162790697,1,0
19,11,0,3,1,0,0,0.0,14,0.7368421052631579,0,0.0,0,0,0,5,0.2631578947368421,1,1
27,20,0,2,2,0,0,0.0,14,0.5185185185185185,7,0.25925925925925924,0,0,0,6,0.2222222222222222,0,0
46,37,0,3,1,0,0,0.0,21,0.45652173913043476,19,0.41304347826086957,0,0,0,6,0.13043478260869565,1,0
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
34,26,0,2,3,0,0,0.0,27,0.7941176470588235,0,0.0,0,0,0,7,0.20588235294117646,1,1
26,18,0,2,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
48,39,0,2,2,0,0,0.0,41,0.8541666666666666,0,0.0,0,0,0,7,0.14583333333333334,1,0
20,13,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,0,0
21,13,0,2,2,0,0,0.0,15,0.7142857142857143,0,0.0,0,0,0,6,0.2857142857142857,1,1
25,17,0,3,2,0,0,0.0,19,0.76,0,0.0,0,0,0,6,0.24,1,1
21,13,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,1,1
35,27,0,3,1,0,0,0.0,30,0.8571428571428571,0,0.0,0,0,0,5,0.14285714285714285,1,1
26,17,0,3,1,0,0,0.0,20,0.7692307692307693,0,0.0,0,0,0,6,0.23076923076923078,1,0
29,21,0,5,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,5,0.1724137931034483,1,1
23,15,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,5,0.21739130434782608,1,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,5,0.18518518518518517,1,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,5,0.18518518518518517,1,1
32,24,0,3,1,0,0,0.0,25,0.78125,0,0.0,0,0,0,7,0.21875,1,1
36,27,0,3,1,0,0,0.0,27,0.75,1,0.027777777777777776,0,0,0,8,0.2222222222222222,1,0
71,39,0,3,5,0,0,0.0,55,0.7746478873239436,1,0.014084507042253521,0,0,0,15,0.2112676056338028,1,0
22,14,0,2,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,5,0.22727272727272727,1,1
48,41,0,2,1,0,0,0.0,26,0.5416666666666666,17,0.3541666666666667,0,0,0,5,0.10416666666666667,0,0
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
21,13,1,3,0,0,0,0.0,4,0.19047619047619047,10,0.47619047619047616,0,0,0,7,0.3333333333333333,0,0
89,7,0,2,0,0,0,0.0,71,0.797752808988764,9,0.10112359550561797,0,0,0,9,0.10112359550561797,1,0
31,23,0,2,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
23,15,0,3,2,0,0,0.0,17,0.7391304347826086,0,0.0,0,0,0,6,0.2608695652173913,1,1
22,15,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,5,0.22727272727272727,0,0
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
21,13,0,3,1,0,0,0.0,14,0.6666666666666666,2,0.09523809523809523,0,0,0,5,0.23809523809523808,1,1
46,39,0,3,3,0,0,0.0,35,0.7608695652173914,1,0.021739130434782608,0,0,0,10,0.21739130434782608,0,0
22,14,0,2,2,0,0,0.0,16,0.7272727272727273,0,0.0,0,0,0,6,0.2727272727272727,1,1
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
35,27,0,3,1,0,0,0.0,30,0.8571428571428571,0,0.0,0,0,0,5,0.14285714285714285,1,1
21,13,0,2,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,1,1
30,23,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,5,0.16666666666666666,0,0
22,15,0,2,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,5,0.22727272727272727,0,0
18,10,0,2,1,0,0,0.0,10,0.5555555555555556,3,0.16666666666666666,0,0,0,5,0.2777777777777778,1,1
24,16,0,5,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,1,1
31,23,0,2,1,0,0,0.0,25,0.8064516129032258,0,0.0,0,0,0,6,0.1935483870967742,1,1
47,39,0,3,1,0,0,0.0,42,0.8936170212765957,0,0.0,0,0,0,5,0.10638297872340426,1,1
26,18,0,2,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
35,26,0,3,1,0,0,0.0,27,0.7714285714285715,2,0.05714285714285714,0,0,0,6,0.17142857142857143,1,0
36,28,0,3,1,0,0,0.0,31,0.8611111111111112,0,0.0,0,0,0,5,0.1388888888888889,1,1
36,28,0,3,1,0,0,0.0,29,0.8055555555555556,0,0.0,0,0,0,7,0.19444444444444445,1,1
45,28,0,2,1,0,0,0.0,36,0.8,0,0.0,0,0,0,9,0.2,0,0
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
43,34,0,3,1,0,0,0.0,36,0.8372093023255814,0,0.0,0,0,0,7,0.16279069767441862,1,0
24,16,0,3,2,0,0,0.0,18,0.75,0,0.0,0,0,0,6,0.25,1,1
38,31,0,4,1,0,0,0.0,27,0.7105263157894737,4,0.10526315789473684,0,0,0,7,0.18421052631578946,0,0
21,13,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,1,1
25,17,0,2,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
33,25,0,2,2,0,0,0.0,27,0.8181818181818182,0,0.0,0,0,0,6,0.18181818181818182,1,1
30,22,0,2,2,0,0,0.0,23,0.7666666666666667,0,0.0,0,0,0,7,0.23333333333333334,1,1
48,41,0,2,1,0,0,0.0,22,0.4583333333333333,21,0.4375,0,0,0,5,0.10416666666666667,0,0
23,15,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,5,0.21739130434782608,1,1
24,17,0,2,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,0,0
27,19,0,2,2,0,0,0.0,21,0.7777777777777778,0,0.0,0,0,0,6,0.2222222222222222,1,1
23,15,0,4,1,0,0,0.0,17,0.7391304347826086,0,0.0,0,0,0,6,0.2608695652173913,1,1
77,25,0,2,2,0,0,0.0,63,0.8181818181818182,2,0.025974025974025976,0,0,0,12,0.15584415584415584,0,0
22,14,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,5,0.22727272727272727,1,1
26,18,0,5,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
24,17,0,2,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,0,0
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,5,0.18518518518518517,1,1
98,26,0,3,0,0,0,0.0,79,0.8061224489795918,6,0.061224489795918366,3,1,1,13,0.1326530612244898,1,0
27,19,0,2,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,5,0.18518518518518517,1,1
39,31,0,3,1,0,0,0.0,34,0.8717948717948718,0,0.0,0,0,0,5,0.1282051282051282,1,1
40,32,0,3,1,0,0,0.0,35,0.875,0,0.0,0,0,0,5,0.125,1,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
20,12,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,1,1
29,22,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,5,0.1724137931034483,0,0
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
31,23,0,2,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
32,24,0,3,1,0,0,0.0,25,0.78125,0,0.0,0,0,0,7,0.21875,1,1
21,13,0,2,2,0,0,0.0,15,0.7142857142857143,0,0.0,0,0,0,6,0.2857142857142857,1,1
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
24,16,0,4,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,1,1
30,22,0,2,2,0,0,0.0,24,0.8,0,0.0,0,0,0,6,0.2,1,1
23,15,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,5,0.21739130434782608,1,1
32,24,0,3,1,0,0,0.0,26,0.8125,0,0.0,0,0,0,6,0.1875,1,1
21,13,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,1,1
25,17,0,2,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
34,25,0,3,1,0,0,0.0,21,0.6176470588235294,6,0.17647058823529413,0,0,0,7,0.20588235294117646,1,0
31,23,0,2,2,0,0,0.0,25,0.8064516129032258,0,0.0,0,0,0,6,0.1935483870967742,1,1
34,26,0,3,1,0,0,0.0,29,0.8529411764705882,0,0.0,0,0,0,5,0.14705882352941177,1,1
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,5,0.16666666666666666,1,1
25,17,0,3,1,0,0,0.0,19,0.76,0,0.0,0,0,0,6,0.24,1,1
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
26,18,0,2,2,0,0,0.0,19,0.7307692307692307,1,0.038461538461538464,0,0,0,6,0.23076923076923078,1,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
32,23,0,3,1,0,0,0.0,25,0.78125,0,0.0,0,0,0,7,0.21875,1,0
33,25,0,3,1,0,0,0.0,28,0.8484848484848485,0,0.0,0,0,0,5,0.15151515151515152,1,1
25,17,0,2,2,0,0,0.0,19,0.76,0,0.0,0,0,0,6,0.24,1,1
26,18,0,2,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,5,0.19230769230769232,1,1
26,18,0,2,2,0,0,0.0,20,0.7692307692307693,0,0.0,0,0,0,6,0.23076923076923078,1,1
32,25,0,3,2,0,0,0.0,25,0.78125,0,0.0,0,0,0,7,0.21875,0,0
28,20,0,2,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,6,0.21428571428571427,1,1
25,17,0,2,2,0,0,0.0,19,0.76,0,0.0,0,0,0,6,0.24,1,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,1,1
28,20,0,2,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
24,16,0,3,1,0,0,0.0,18,0.75,0,0.0,0,0,0,6,0.25,1,1
30,22,0,2,2,0,0,0.0,23,0.7666666666666667,0,0.0,0,0,0,7,0.23333333333333334,1,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
31,23,0,3,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,5,0.16129032258064516,1,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
36,28,0,2,1,0,0,0.0,30,0.8333333333333334,0,0.0,0,0,0,6,0.16666666666666666,1,1
21,13,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,1,1
29,21,0,2,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,5,0.1724137931034483,1,1
42,33,0,4,1,0,0,0.0,36,0.8571428571428571,0,0.0,0,0,0,6,0.14285714285714285,1,0
74,29,0,3,0,0,0,0.0,59,0.7972972972972973,2,0.02702702702702703,2,1,1,13,0.17567567567567569,1,0
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,1,1
28,21,0,4,2,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,6,0.21428571428571427,0,0
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,5,0.1724137931034483,1,1
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,1,1
31,23,0,3,1,0,0,0.0,25,0.8064516129032258,0,0.0,0,0,0,6,0.1935483870967742,1,1
38,30,0,3,1,0,0,0.0,33,0.868421052631579,0,0.0,0,0,0,5,0.13157894736842105,1,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,1,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,5,0.18518518518518517,1,1
20,12,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,1,1
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,5,0.16666666666666666,1,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,5,0.17857142857142858,1,1
37,29,0,3,1,0,0,0.0,32,0.8648648648648649,0,0.0,0,0,0,5,0.13513513513513514,1,1
24,17,0,2,2,0,0,0.0,18,0.75,0,0.0,0,0,0,6,0.25,0,0
19,11,0,2,1,0,0,0.0,14,0.7368421052631579,0,0.0,0,0,0,5,0.2631578947368421,1,1
21,13,0,2,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,1,1
20,12,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,1,1
24,16,0,2,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,1,1
20,13,0,3,1,0,0,0.0,15,0.75,0,0.0,0,0,0,5,0.25,0,0
21,14,0,3,1,0,0,0.0,16,0.7619047619047619,0,0.0,0,0,0,5,0.23809523809523808,0,0
33,26,0,2,2,0,0,0.0,27,0.8181818181818182,0,0.0,0,0,0,6,0.18181818181818182,0,0
31,23,0,2,2,0,0,0.0,25,0.8064516129032258,0,0.0,0,0,0,6,0.1935483870967742,1,1
24,16,0,6,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,1,1
22,15,0,3,1,0,0,0.0,17,0.7727272727272727,0,0.0,0,0,0,5,0.22727272727272727,0,0
21,13,0,2,2,0,0,0.0,15,0.7142857142857143,0,0.0,0,0,0,6,0.2857142857142857,1,1
27,19,0,2,2,0,0,0.0,21,0.7777777777777778,0,0.0,0,0,0,6,0.2222222222222222,1,1
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,5,0.16666666666666666,1,1
25,17,0,3,1,0,0,0.0,19,0.76,1,0.04,0,0,0,5,0.2,1,1
25,18,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,0,0
31,22,0,3,1,0,0,0.0,24,0.7741935483870968,1,0.03225806451612903,0,0,0,6,0.1935483870967742,1,0
27,20,0,2,2,0,0,0.0,14,0.5185185185185185,7,0.25925925925925924,0,0,0,6,0.2222222222222222,0,0
47,21,0,3,1,0,0,0.0,38,0.8085106382978723,0,0.0,0,0,0,9,0.19148936170212766,1,0
47,24,0,3,1,0,0,0.0,38,0.8085106382978723,1,0.02127659574468085,0,0,0,8,0.1702127659574468,1,0
25,18,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,5,0.2,0,0
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,5,0.20833333333333334,1,1
